WorkerID,WorkerName,Skills,AvailableSlots,MaxLoadPerPhase,WorkerGroup,QualificationLevel
W1,Worker_GroupA_1,"api,data,ops,ui","[[2, 6]]",4,GroupA,Senior
W2,Worker_GroupA_2,"qa,data",[[2]],2,GroupA,Senior
W3,Worker_GroupA_3,"qa,ml,ui",[[6]],4,GroupA,Junior
W4,Worker_GroupA_4,"ui,data","[[2, 4, 6]]",2,GroupA,Senior
W5,Worker_GroupA_5,"etl,ops,data,api","[[1, 3]]",1,GroupA,Junior
W6,Worker_GroupB_1,"ops,api,ui","[[1, 4, 6]]",1,GroupB,Mid
W7,Worker_GroupB_2,"data,ops,qa","[[2, 3, 4]]",3,GroupB,Mid
W8,Worker_GroupB_3,"api,dev,etl,qa",[[3]],4,GroupB,Senior
W9,Worker_GroupB_4,"ml,qa,ops,dev",[[5]],4,GroupB,Junior
W10,Worker_GroupB_5,"etl,ops","[[1, 3, 6]]",3,GroupB,Mid
W11,Worker_GroupC_1,"qa,data,ui",[[3]],4,GroupC,Junior
W12,Worker_GroupC_2,"dev,api,ui,ops","[[1, 5]]",1,GroupC,Mid
W13,Worker_GroupC_3,"dev,ui,api",[[5]],3,GroupC,Junior
W14,Worker_GroupC_4,"dev,api,data,ops","[[2, 3]]",2,GroupC,Mid
W15,Worker_GroupC_5,"qa,data,ui","[[1, 5]]",2,GroupC,Senior
